        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        2000 chandeg m_2_89             2275.848       2.275847      1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  0.0000000E+00 -0.1149998    
           2           1           2        2000 chandeg m_2_89             961.0761      0.9663063      1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  3.7575160E-07  3.7575160E-07  3.7575160E-07  3.7575160E-07  3.7575160E-07  0.0000000E+00 -0.8237500    
           3           1           3        2000 chandeg m_2_89             404.6413      0.4101677      1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  4.2325598E-07  4.2325598E-07  4.2325598E-07  4.2325598E-07  4.2325598E-07  0.0000000E+00 -0.8462501    
           4           1           4        2000 chandeg m_2_89             190.0786      0.1739842      1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041894E-06  0.0000000E+00  0.1332956      4.4329690E-07  4.4329690E-07  4.4329690E-07  4.4329690E-07  4.4329690E-07  0.0000000E+00  -4.299999    
           5           1           5        2000 chandeg m_2_89             84.04962      7.3701553E-02  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041894E-06  0.0000000E+00  3.9101750E-02  4.5154613E-07  4.5154613E-07  4.5154613E-07  4.5154613E-07  4.5154613E-07  0.0000000E+00  -6.801250    
           6           1           6        2000 chandeg m_2_89             75.00876      3.1121194E-02  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577766E-06  1.0041895E-06  0.0000000E+00  0.2381529      4.5443059E-07  4.5443059E-07  4.5443059E-07  4.5443059E-07  4.5443059E-07  0.0000000E+00  -2.766250    
           7           1           7        2000 chandeg m_2_89             27.72631      1.3132144E-02  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  4.5551593E-07  4.5551593E-07  4.5551593E-07  4.5551593E-07  4.5551593E-07  0.0000000E+00  -8.271250    
           8           1           8        2000 chandeg m_2_89             11.39047      5.4805730E-03  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  4.5386605E-07  4.5386605E-07  4.5386605E-07  4.5386605E-07  4.5386605E-07  0.0000000E+00  -4.720000    
           9           1           9        2000 chandeg m_2_89             1.569853      2.2295637E-03  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  5.0441340E-06  1.2272289E-06  0.0000000E+00  1.7161233E-06  4.4839902E-07  4.4839902E-07  4.4839902E-07  4.4839902E-07  4.4839902E-07  0.0000000E+00   2.296250    
          10           1          10        2000 chandeg m_2_89            8.9805661E-04  6.5778039E-04  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  5.0959602E-06  1.2445645E-06  0.0000000E+00  1.6635022E-06  3.9605044E-07  3.9605044E-07  3.9605044E-07  3.9605044E-07  3.9605044E-07  0.0000000E+00   2.450000    
          11           1          11        2000 chandeg m_2_89             20.29424      2.6376085E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041896E-06  0.0000000E+00  0.1190776      2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  0.0000000E+00  -2.537500    
          12           1          12        2000 chandeg m_2_89             2.600493      3.7312980E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  3.7312984E-07  3.7312984E-07  3.7312984E-07  3.7312984E-07  3.7312984E-07  0.0000000E+00  -9.924999    
          13           1          13        2000 chandeg m_2_89             1.022894      3.9301742E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577757E-06  1.0041899E-06  0.0000000E+00  1.7796567E-03  3.9301744E-07  3.9301744E-07  3.9301744E-07  3.9301744E-07  3.9301744E-07  0.0000000E+00  -8.631249    
          14           1          14        2000 chandeg m_2_89            5.0031409E-02  3.5246395E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  3.5246396E-07  3.5246396E-07  3.5246396E-07  3.5246396E-07  3.5246396E-07  0.0000000E+00  -6.924999    
          15           1          15        2000 chandeg m_2_89            8.9805661E-04  2.6376085E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  0.0000000E+00  -2.222500    
          16           1          16        2000 chandeg m_2_89            8.9805661E-04  2.6376085E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  0.0000000E+00  -5.897500    
          17           1          17        2000 chandeg m_2_89            8.9805661E-04  2.6376085E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  0.0000000E+00  -7.480000    
          18           1          18        2000 chandeg m_2_89            8.9805661E-04  2.6376085E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  0.0000000E+00  -2.421250    
          19           1          19        2000 chandeg m_2_89             23.62599      2.6376085E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577766E-06  1.0041892E-06  0.0000000E+00  0.1386273      2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  2.6376085E-07  0.0000000E+00  -4.521250    
          20           1          20        2000 chandeg m_2_89             7.113661      3.7350284E-10  1.7516679E-07  5.2550041E-07  1.3702770E-07  9.8888592E-08  0.0000000E+00  4.3577761E-06  1.0041895E-06  0.0000000E+00  2.4144813E-06  3.7350287E-07  3.7350287E-07  3.7350287E-07  3.7350287E-07  3.7350287E-07  0.0000000E+00  -10.08250    
