        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        2000 outlet  out_070101010803   216221.2       4.914155       11.92907       4.652937       2763.932       6.700229      0.0000000E+00  2.5821271E-06  1.2096368E-09  0.0000000E+00   6855.497      1.5479659E-06  1.5479659E-06  1.5479659E-06  1.5479659E-06  1.5479659E-06  0.0000000E+00  -1.086250    
           2           1           2        2000 outlet  out_070101010803   1655208.       1.214806       11.92907       4.652937       4456.756       6.700229      0.0000000E+00  2.5821271E-06  1.2096368E-09  0.0000000E+00   19691.77      5.4135426E-06  5.4135426E-06  5.4135426E-06  5.4135426E-06  5.4135426E-06  0.0000000E+00 -0.5087500    
           3           1           3        2000 outlet  out_070101010803   1319337.      0.2224908       11.92907       4.652937       5501.035       6.700229      0.0000000E+00  2.5821271E-06  1.2096368E-09  0.0000000E+00   18992.80      3.7954765E-06  3.7954765E-06  3.7954765E-06  3.7954765E-06  3.7954765E-06  0.0000000E+00  -1.525000    
           4           1           4        2000 outlet  out_070101010803   1919709.      2.1115305E-02   11.92907       4.652937       6134.343       6.700229      0.0000000E+00  2.5821273E-06  0.0000000E+00  0.0000000E+00   25035.25      4.4435787E-06  4.4435787E-06  4.4435787E-06  4.4435787E-06  4.4435787E-06  0.0000000E+00  -3.205000    
           5           1           5        2000 outlet  out_070101010803   2368106.      1.4346375E-03   11.92907       4.652937       6506.447       6.700229      0.0000000E+00  2.5821273E-06  1.2096368E-09  0.0000000E+00   29136.82      4.8765969E-06  4.8765969E-06  4.8765969E-06  4.8765969E-06  4.8765969E-06  0.0000000E+00  -7.427500    
           6           1           6        2000 outlet  out_070101010803   2754920.      1.5274552E-04   11.92907       4.652937       6713.151       6.700229      0.0000000E+00  2.5821273E-06  0.0000000E+00  0.0000000E+00   31681.27      5.2575328E-06  5.2575328E-06  5.2575328E-06  5.2575328E-06  5.2575328E-06  0.0000000E+00  -1.783750    
           7           1           7        2000 outlet  out_070101010803   3002747.      1.9975712E-05   11.92907       4.652937       6815.357       6.700229      0.0000000E+00  2.5821271E-06  1.2096368E-09  0.0000000E+00   33159.24      5.4551329E-06  5.4551329E-06  5.4551329E-06  5.4551329E-06  5.4551329E-06  0.0000000E+00  -8.293751    
           8           1           8        2000 outlet  out_070101010803   3175824.      3.0614049E-06   11.92907       4.652937       6851.770       6.700229      0.0000000E+00  2.5821269E-06  1.2096368E-09  0.0000000E+00   33949.29      5.5838755E-06  5.5838755E-06  5.5838755E-06  5.5838755E-06  5.5838755E-06  0.0000000E+00  -6.279999    
           9           1           9        2000 outlet  out_070101010803   3276808.      5.2008227E-07   11.92907       4.652937       6846.803       6.700229      0.0000000E+00  2.6587718E-06  1.2591422E-09  0.0000000E+00   34058.58      5.6446943E-06  5.6446943E-06  5.6446943E-06  5.6446943E-06  5.6446943E-06  0.0000000E+00  0.5225000    
          10           1          10        2000 outlet  out_070101010803   3335217.      9.5535853E-08   11.92907       4.652937       6815.935       6.700229      0.0000000E+00  3.0553983E-06  0.0000000E+00  0.0000000E+00   33032.62      5.6547287E-06  5.6547287E-06  5.6547287E-06  5.6547287E-06  5.6547287E-06  0.0000000E+00   2.532500    
          11           1          11        2000 outlet  out_070101010803   3359372.      1.8723011E-08   11.92907       4.652937       6768.751       6.700229      0.0000000E+00  2.5821273E-06  1.2096368E-09  0.0000000E+00   34285.54      5.6710287E-06  5.6710287E-06  5.6710287E-06  5.6710287E-06  5.6710287E-06  0.0000000E+00  -1.524999    
          12           1          12        2000 outlet  out_070101010803   3362916.      4.1252948E-09   11.92907       4.652937       6711.458       6.700229      0.0000000E+00  2.5821269E-06  1.2096368E-09  0.0000000E+00   34083.77      5.6934700E-06  5.6934700E-06  5.6934700E-06  5.6934700E-06  5.6934700E-06  0.0000000E+00  -9.955000    
          13           1          13        2000 outlet  out_070101010803   3351582.      1.2644998E-09   11.92907       4.652937       6648.038       6.700229      0.0000000E+00  2.5821271E-06  1.2096368E-09  0.0000000E+00   33816.84      5.5479031E-06  5.5479031E-06  5.5479031E-06  5.5479031E-06  5.5479031E-06  0.0000000E+00  -8.919999    
          14           1          14        2000 outlet  out_070101010803   3331150.      6.9519102E-10   11.92907       4.652937       6581.026       6.700229      0.0000000E+00  2.5821273E-06  1.2096339E-09  0.0000000E+00   33510.12      5.3774065E-06  5.3774065E-06  5.3774065E-06  5.3774065E-06  5.3774065E-06  0.0000000E+00  -6.827500    
          15           1          15        2000 outlet  out_070101010803   3304594.      5.8117611E-10   11.92907       4.652937       6512.001       6.700229      0.0000000E+00  2.5821271E-06  1.2096368E-09  0.0000000E+00   33179.55      5.2604018E-06  5.2604018E-06  5.2604018E-06  5.2604018E-06  5.2604018E-06  0.0000000E+00  -2.818750    
