        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        2000 chandeg t_1_590            1337.604       1.337603      1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.8503870E-07  1.8503870E-07  1.8503870E-07  1.8503870E-07  1.8503870E-07  0.0000000E+00  -1.048750    
           2           1           2        2000 chandeg t_1_590            41.03723      4.3163929E-02  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.9100983E-07  1.9100983E-07  1.9100983E-07  1.9100983E-07  1.9100983E-07  0.0000000E+00 -0.7787499    
           3           1           3        2000 chandeg t_1_590           1.0068917E-03  1.3810294E-03  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.9115008E-07  1.9115008E-07  1.9115008E-07  1.9115008E-07  1.9115008E-07  0.0000000E+00  -1.101250    
           4           1           4        2000 chandeg t_1_590            34.39650      1.8503865E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012311E-07  0.0000000E+00  3.6120459E-02  1.8503867E-07  1.8503867E-07  1.8503867E-07  1.8503867E-07  1.8503867E-07  0.0000000E+00  -3.887501    
           5           1           5        2000 chandeg t_1_590           1.0068917E-03  1.9094888E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.9094891E-07  1.9094891E-07  1.9094891E-07  1.9094891E-07  1.9094891E-07  0.0000000E+00  -7.116251    
           6           1           6        2000 chandeg t_1_590            29.87503      1.8503866E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012308E-07  0.0000000E+00  3.1372309E-02  1.8503869E-07  1.8503869E-07  1.8503869E-07  1.8503869E-07  1.8503869E-07  0.0000000E+00  -2.117500    
           7           1           7        2000 chandeg t_1_590           1.0068917E-03  1.9093940E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.9093943E-07  1.9093943E-07  1.9093943E-07  1.9093943E-07  1.9093943E-07  0.0000000E+00  -8.496249    
           8           1           8        2000 chandeg t_1_590           1.0068917E-03  1.8503869E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  0.0000000E+00  -5.346251    
           9           1           9        2000 chandeg t_1_590           1.0068917E-03  1.8503869E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.9924194E-06  1.5181344E-07  0.0000000E+00  5.5832868E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  0.0000000E+00  0.9575000    
          10           1          10        2000 chandeg t_1_590            22.28541      1.8503866E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  2.2650322E-06  1.8030046E-07  0.0000000E+00  2.3054229E-02  1.8503869E-07  1.8503869E-07  1.8503869E-07  1.8503869E-07  1.8503869E-07  0.0000000E+00   2.798750    
          11           1          11        2000 chandeg t_1_590           1.0068917E-03  1.9091488E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.9091492E-07  1.9091492E-07  1.9091492E-07  1.9091492E-07  1.9091492E-07  0.0000000E+00  -2.012500    
          12           1          12        2000 chandeg t_1_590           1.0068917E-03  1.8503869E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  0.0000000E+00  -10.13125    
          13           1          13        2000 chandeg t_1_590           0.3239693      1.8503868E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768301E-06  1.4012296E-07  0.0000000E+00  3.3975465E-04  1.8503870E-07  1.8503870E-07  1.8503870E-07  1.8503870E-07  1.8503870E-07  0.0000000E+00  -8.923749    
          14           1          14        2000 chandeg t_1_590           1.0068917E-03  1.8503869E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  0.0000000E+00  -7.127501    
          15           1          15        2000 chandeg t_1_590           1.0068917E-03  1.8503869E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  0.0000000E+00  -2.316250    
          16           1          16        2000 chandeg t_1_590           1.0068917E-03  1.8503869E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  0.0000000E+00  -4.881250    
          17           1          17        2000 chandeg t_1_590           1.0068917E-03  1.8503869E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  0.0000000E+00  -7.247499    
          18           1          18        2000 chandeg t_1_590            5.168405      1.8503868E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012305E-07  0.0000000E+00  5.4270588E-03  1.8503870E-07  1.8503870E-07  1.8503870E-07  1.8503870E-07  1.8503870E-07  0.0000000E+00  -2.008750    
          19           1          19        2000 chandeg t_1_590           1.0068917E-03  1.9059516E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.9059519E-07  1.9059519E-07  1.9059519E-07  1.9059519E-07  1.9059519E-07  0.0000000E+00  -5.042500    
          20           1          20        2000 chandeg t_1_590           1.0068917E-03  1.8503869E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  0.0000000E+00  -10.44625    
          21           1          21        2000 chandeg t_1_590           1.0068917E-03  1.8503869E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012296E-07  0.0000000E+00  6.0104651E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  1.8503872E-07  0.0000000E+00  -12.39625    
          22           1          22        2000 chandeg t_1_590            25.03059      1.8503868E-10  1.0700180E-07  3.2100536E-07  1.0109351E-07  9.5185207E-08  0.0000000E+00  1.8768299E-06  1.4012316E-07  0.0000000E+00  2.6285004E-02  1.8503870E-07  1.8503870E-07  1.8503870E-07  1.8503870E-07  1.8503870E-07  0.0000000E+00  -11.63500    
