        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        2000 outlet  out_070101010907   182376.2       1.692461      7.2836585E-08  2.1744420E-07   362.3983      6.2540458E-08  0.0000000E+00  2.5685870E-06  1.6811914E-07  0.0000000E+00   91.22269      2.3317953E-07  2.3317953E-07  2.3317953E-07  2.3317953E-07  2.3317953E-07  0.0000000E+00 -0.5874996    
           2           1           2        2000 outlet  out_070101010907   306324.9      1.1536412E-02  7.7118649E-08  2.2948788E-07   616.3954      6.7999295E-08  0.0000000E+00  2.6331368E-06  1.7380225E-07  0.0000000E+00   154.4322      2.3504394E-07  2.3504394E-07  2.3504394E-07  2.3504394E-07  2.3504394E-07  0.0000000E+00  0.4550000    
           3           1           3        2000 outlet  out_070101010907   414826.4      2.2891690E-10  8.1792820E-08  2.4277492E-07   836.0428      7.8843044E-08  0.0000000E+00  2.5685870E-06  1.6811914E-07  0.0000000E+00   209.5574      2.3317952E-07  2.3317952E-07  2.3317952E-07  2.3317952E-07  2.3317952E-07  0.0000000E+00 -0.9099998    
           4           1           4        2000 outlet  out_070101010907   543398.9      2.2891691E-10  8.8012250E-08  2.6054229E-07   1091.864      9.5163678E-08  0.0000000E+00  2.5685868E-06  1.6811923E-07  0.0000000E+00   274.5430      2.3317953E-07  2.3317953E-07  2.3317953E-07  2.3317953E-07  2.3317953E-07  0.0000000E+00  -2.357500    
           5           1           5        2000 outlet  out_070101010907   595157.1      2.2891690E-10  9.2210982E-08  2.7270761E-07   1195.178      1.1105158E-07  0.0000000E+00  2.5685870E-06  1.6811914E-07  0.0000000E+00   300.6938      2.3317952E-07  2.3317952E-07  2.3317952E-07  2.3317952E-07  2.3317952E-07  0.0000000E+00  -7.135001    
           6           1           6        2000 outlet  out_070101010907   632703.2      2.2900794E-10  9.6801770E-08  2.8604103E-07   1269.008      1.2772747E-07  0.0000000E+00  2.5685868E-06  1.6811940E-07  0.0000000E+00   319.6950      2.3317953E-07  2.3317953E-07  2.3317953E-07  2.3317953E-07  2.3317953E-07  0.0000000E+00  -1.345000    
           7           1           7        2000 outlet  out_070101010907   641071.1      2.2998370E-10  1.0011104E-07  2.9575739E-07   1285.829      1.4277953E-07  0.0000000E+00  2.5685870E-06  1.6811914E-07  0.0000000E+00   323.9013      2.3411199E-07  2.3411199E-07  2.3411199E-07  2.3411199E-07  2.3411199E-07  0.0000000E+00  -7.731251    
           8           1           8        2000 outlet  out_070101010907   646239.0      2.2907738E-10  1.0324925E-07  3.0499760E-07   1295.859      1.5793040E-07  0.0000000E+00  2.5685870E-06  1.6811914E-07  0.0000000E+00   326.5135      2.3317952E-07  2.3317952E-07  2.3317952E-07  2.3317952E-07  2.3317952E-07  0.0000000E+00  -6.520000    
           9           1           9        2000 outlet  out_070101010907   643126.2      2.2906167E-10  1.0565464E-07  3.1214296E-07   1289.702      1.7217914E-07  0.0000000E+00  2.6241783E-06  1.7301060E-07  0.0000000E+00   324.3931      2.3317952E-07  2.3317952E-07  2.3317952E-07  2.3317952E-07  2.3317952E-07  0.0000000E+00  0.4062500    
          10           1          10        2000 outlet  out_070101010907   640378.1      2.2904745E-10  1.0806831E-07  3.1931319E-07   1283.983      1.8652295E-07  0.0000000E+00  3.0246470E-06  2.0926706E-07  0.0000000E+00   319.8378      2.3317953E-07  2.3317953E-07  2.3317953E-07  2.3317953E-07  2.3317953E-07  0.0000000E+00   2.438750    
