        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        2000 chandeg m_5_862            250333.7       36.14193      3.0675506E-07  9.1945435E-07   1331.763      5.6457779E-08  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   2982.371      2.6350111E-07  2.6350111E-07  2.6350111E-07  2.6350111E-07  2.6350111E-07  0.0000000E+00 -0.4937496    
           2           1           2        2000 chandeg m_5_862            599289.7       25.22002      1.5351597E-07  4.5904270E-07   2567.808      1.5842559E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   5751.479      4.5505868E-07  4.5505868E-07  4.5505868E-07  4.5505868E-07  4.5505868E-07  0.0000000E+00  3.8750172E-02
           3           1           3        2000 chandeg m_5_862            1080804.       17.94679      1.5633680E-07  4.6578663E-07   3722.252      1.7144539E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   8329.331      6.1242389E-07  6.1242389E-07  6.1242389E-07  6.1242389E-07  6.1242389E-07  0.0000000E+00 -0.9137502    
           4           1           4        2000 chandeg m_5_862            1693874.       12.74846      3.3334418E-06  1.5826970E-06   4804.843      1.3129826E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   10748.83      7.5169163E-07  7.5169163E-07  7.5169163E-07  7.5169163E-07  7.5169163E-07  0.0000000E+00  -2.803750    
           5           1           5        2000 chandeg m_5_862            2465423.       8.920730      5.4219595E-06  2.3157609E-06   5825.875      3.3720780E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   13021.72      8.8738710E-07  8.8738710E-07  8.8738710E-07  8.8738710E-07  8.8738710E-07  0.0000000E+00  -6.947500    
           6           1           6        2000 chandeg m_5_862            3488075.       6.059359      7.4567683E-06  3.0291733E-06   6788.171      6.2669228E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   15169.67      1.0422874E-06  1.0422874E-06  1.0422874E-06  1.0422874E-06  1.0422874E-06  0.0000000E+00  -1.506250    
           7           1           7        2000 chandeg m_5_862            4920141.       3.760852      9.3086137E-06  3.6910319E-06   7702.698      1.0135050E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   17193.81      1.2361021E-06  1.2361021E-06  1.2361021E-06  1.2361021E-06  1.2361021E-06  0.0000000E+00  -7.821249    
           8           1           8        2000 chandeg m_5_862            4113201.      0.9754946      1.1304883E-05  4.4037392E-06   8575.814      1.5447771E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   19124.48      8.6605166E-07  8.6605166E-07  8.6605166E-07  8.6605166E-07  8.6605166E-07  0.0000000E+00  -5.942500    
           9           1           9        2000 chandeg m_5_862            4683505.      0.3396865      1.3435623E-05  5.1635470E-06   9426.896      2.3190716E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   20868.41      8.7082844E-07  8.7082844E-07  8.7082844E-07  8.7082844E-07  8.7082844E-07  0.0000000E+00  0.7325001    
          10           1          10        2000 chandeg m_5_862            4818072.      0.1003520      1.5704609E-05  5.9720592E-06   10266.83      3.4522734E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   22342.38      8.0947166E-07  8.0947166E-07  8.0947166E-07  8.0947166E-07  8.0947166E-07  0.0000000E+00   2.525000    
          11           1          11        2000 chandeg m_5_862            5246857.      3.2422394E-02  1.8136345E-05  6.8380891E-06   11115.75      5.1010182E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   24745.08      8.0986183E-07  8.0986183E-07  8.0986183E-07  8.0986183E-07  8.0986183E-07  0.0000000E+00  -1.547500    
          12           1          12        2000 chandeg m_5_862            5578284.      1.0468696E-02  2.0710220E-05  7.7542454E-06   11959.61      7.4253003E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   26627.84      7.9783450E-07  7.9783450E-07  7.9783450E-07  7.9783450E-07  7.9783450E-07  0.0000000E+00  -9.351250    
          13           1          13        2000 chandeg m_5_862            5962025.      3.5491125E-03  2.3329154E-05  8.6857535E-06   12746.18      1.0582367E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   28379.25      7.9791113E-07  7.9791113E-07  7.9791113E-07  7.9791113E-07  7.9791113E-07  0.0000000E+00  -8.316250    
          14           1          14        2000 chandeg m_5_862            6304509.      1.2383830E-03  2.5988053E-05  9.6308677E-06   13482.07      1.4760927E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   30014.96      7.9588301E-07  7.9588301E-07  7.9588301E-07  7.9588301E-07  7.9588301E-07  0.0000000E+00  -6.250000    
          15           1          15        2000 chandeg m_5_862            6642800.      4.4793967E-04  2.8659751E-05  1.0579947E-05   14162.63      2.0161754E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   31519.31      7.9677613E-07  7.9677613E-07  7.9677613E-07  7.9677613E-07  7.9677613E-07  0.0000000E+00  -2.455000    
          16           1          16        2000 chandeg m_5_862            6949342.      1.6671994E-04  3.1315343E-05  1.1522719E-05   14781.84      2.6989900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   32876.84      7.9725322E-07  7.9725322E-07  7.9725322E-07  7.9725322E-07  7.9725322E-07  0.0000000E+00  -3.767500    
          17           1          17        2000 chandeg m_5_862            7241516.      6.3805870E-05  3.3990287E-05  1.2471883E-05   15359.49      3.5518856E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   34138.87      7.9861610E-07  7.9861610E-07  7.9861610E-07  7.9861610E-07  7.9861610E-07  0.0000000E+00  -6.876250    
          18           1          18        2000 chandeg m_5_862            7512308.      2.4994431E-05  3.6678877E-05  1.3425452E-05   15898.65      4.6028773E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   35314.50      7.9966173E-07  7.9966173E-07  7.9966173E-07  7.9966173E-07  7.9966173E-07  0.0000000E+00  -1.723750    
          19           1          19        2000 chandeg m_5_862            7768044.      1.0003618E-05  3.9384864E-05  1.4384812E-05   16405.84      5.8822939E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   36413.27      8.0084811E-07  8.0084811E-07  8.0084811E-07  8.0084811E-07  8.0084811E-07  0.0000000E+00  -4.930000    
          20           1          20        2000 chandeg m_5_862            8007198.      4.0799255E-06  4.2097381E-05  1.5346124E-05   16880.64      7.4166671E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   37439.84      8.0186237E-07  8.0186237E-07  8.0186237E-07  8.0186237E-07  8.0186237E-07  0.0000000E+00  -9.917500    
          21           1          21        2000 chandeg m_5_862            8232168.      1.6928309E-06  4.4812332E-05  1.6307962E-05   17325.26      9.2288572E-04   10.31548      0.0000000E+00  0.0000000E+00  0.0000000E+00   38398.11      8.0286600E-07  8.0286600E-07  8.0286600E-07  8.0286600E-07  8.0286600E-07  0.0000000E+00  -11.94625    
